double_blocks.0.img_attn.norm.key_norm.scale,128
double_blocks.0.img_attn.norm.query_norm.scale,128
double_blocks.0.img_attn.proj.weight,4096,4096
double_blocks.0.img_attn.qkv.weight,12288,4096
double_blocks.0.img_mlp.0.weight,24576,4096
double_blocks.0.img_mlp.2.weight,4096,12288
double_blocks.0.txt_attn.norm.key_norm.scale,128
double_blocks.0.txt_attn.norm.query_norm.scale,128
double_blocks.0.txt_attn.proj.weight,4096,4096
double_blocks.0.txt_attn.qkv.weight,12288,4096
double_blocks.0.txt_mlp.0.weight,24576,4096
double_blocks.0.txt_mlp.2.weight,4096,12288
double_blocks.1.img_attn.norm.key_norm.scale,128
double_blocks.1.img_attn.norm.query_norm.scale,128
double_blocks.1.img_attn.proj.weight,4096,4096
double_blocks.1.img_attn.qkv.weight,12288,4096
double_blocks.1.img_mlp.0.weight,24576,4096
double_blocks.1.img_mlp.2.weight,4096,12288
double_blocks.1.txt_attn.norm.key_norm.scale,128
double_blocks.1.txt_attn.norm.query_norm.scale,128
double_blocks.1.txt_attn.proj.weight,4096,4096
double_blocks.1.txt_attn.qkv.weight,12288,4096
double_blocks.1.txt_mlp.0.weight,24576,4096
double_blocks.1.txt_mlp.2.weight,4096,12288
double_blocks.2.img_attn.norm.key_norm.scale,128
double_blocks.2.img_attn.norm.query_norm.scale,128
double_blocks.2.img_attn.proj.weight,4096,4096
double_blocks.2.img_attn.qkv.weight,12288,4096
double_blocks.2.img_mlp.0.weight,24576,4096
double_blocks.2.img_mlp.2.weight,4096,12288
double_blocks.2.txt_attn.norm.key_norm.scale,128
double_blocks.2.txt_attn.norm.query_norm.scale,128
double_blocks.2.txt_attn.proj.weight,4096,4096
double_blocks.2.txt_attn.qkv.weight,12288,4096
double_blocks.2.txt_mlp.0.weight,24576,4096
double_blocks.2.txt_mlp.2.weight,4096,12288
double_blocks.3.img_attn.norm.key_norm.scale,128
double_blocks.3.img_attn.norm.query_norm.scale,128
double_blocks.3.img_attn.proj.weight,4096,4096
double_blocks.3.img_attn.qkv.weight,12288,4096
double_blocks.3.img_mlp.0.weight,24576,4096
double_blocks.3.img_mlp.2.weight,4096,12288
double_blocks.3.txt_attn.norm.key_norm.scale,128
double_blocks.3.txt_attn.norm.query_norm.scale,128
double_blocks.3.txt_attn.proj.weight,4096,4096
double_blocks.3.txt_attn.qkv.weight,12288,4096
double_blocks.3.txt_mlp.0.weight,24576,4096
double_blocks.3.txt_mlp.2.weight,4096,12288
double_blocks.4.img_attn.norm.key_norm.scale,128
double_blocks.4.img_attn.norm.query_norm.scale,128
double_blocks.4.img_attn.proj.weight,4096,4096
double_blocks.4.img_attn.qkv.weight,12288,4096
double_blocks.4.img_mlp.0.weight,24576,4096
double_blocks.4.img_mlp.2.weight,4096,12288
double_blocks.4.txt_attn.norm.key_norm.scale,128
double_blocks.4.txt_attn.norm.query_norm.scale,128
double_blocks.4.txt_attn.proj.weight,4096,4096
double_blocks.4.txt_attn.qkv.weight,12288,4096
double_blocks.4.txt_mlp.0.weight,24576,4096
double_blocks.4.txt_mlp.2.weight,4096,12288
double_blocks.5.img_attn.norm.key_norm.scale,128
double_blocks.5.img_attn.norm.query_norm.scale,128
double_blocks.5.img_attn.proj.weight,4096,4096
double_blocks.5.img_attn.qkv.weight,12288,4096
double_blocks.5.img_mlp.0.weight,24576,4096
double_blocks.5.img_mlp.2.weight,4096,12288
double_blocks.5.txt_attn.norm.key_norm.scale,128
double_blocks.5.txt_attn.norm.query_norm.scale,128
double_blocks.5.txt_attn.proj.weight,4096,4096
double_blocks.5.txt_attn.qkv.weight,12288,4096
double_blocks.5.txt_mlp.0.weight,24576,4096
double_blocks.5.txt_mlp.2.weight,4096,12288
double_blocks.6.img_attn.norm.key_norm.scale,128
double_blocks.6.img_attn.norm.query_norm.scale,128
double_blocks.6.img_attn.proj.weight,4096,4096
double_blocks.6.img_attn.qkv.weight,12288,4096
double_blocks.6.img_mlp.0.weight,24576,4096
double_blocks.6.img_mlp.2.weight,4096,12288
double_blocks.6.txt_attn.norm.key_norm.scale,128
double_blocks.6.txt_attn.norm.query_norm.scale,128
double_blocks.6.txt_attn.proj.weight,4096,4096
double_blocks.6.txt_attn.qkv.weight,12288,4096
double_blocks.6.txt_mlp.0.weight,24576,4096
double_blocks.6.txt_mlp.2.weight,4096,12288
double_blocks.7.img_attn.norm.key_norm.scale,128
double_blocks.7.img_attn.norm.query_norm.scale,128
double_blocks.7.img_attn.proj.weight,4096,4096
double_blocks.7.img_attn.qkv.weight,12288,4096
double_blocks.7.img_mlp.0.weight,24576,4096
double_blocks.7.img_mlp.2.weight,4096,12288
double_blocks.7.txt_attn.norm.key_norm.scale,128
double_blocks.7.txt_attn.norm.query_norm.scale,128
double_blocks.7.txt_attn.proj.weight,4096,4096
double_blocks.7.txt_attn.qkv.weight,12288,4096
double_blocks.7.txt_mlp.0.weight,24576,4096
double_blocks.7.txt_mlp.2.weight,4096,12288
double_stream_modulation_img.lin.weight,24576,4096
double_stream_modulation_txt.lin.weight,24576,4096
final_layer.adaLN_modulation.1.weight,8192,4096
final_layer.linear.weight,128,4096
img_in.weight,4096,128
single_blocks.0.linear1.weight,36864,4096
single_blocks.0.linear2.weight,4096,16384
single_blocks.0.norm.key_norm.scale,128
single_blocks.0.norm.query_norm.scale,128
single_blocks.1.linear1.weight,36864,4096
single_blocks.1.linear2.weight,4096,16384
single_blocks.1.norm.key_norm.scale,128
single_blocks.1.norm.query_norm.scale,128
single_blocks.10.linear1.weight,36864,4096
single_blocks.10.linear2.weight,4096,16384
single_blocks.10.norm.key_norm.scale,128
single_blocks.10.norm.query_norm.scale,128
single_blocks.11.linear1.weight,36864,4096
single_blocks.11.linear2.weight,4096,16384
single_blocks.11.norm.key_norm.scale,128
single_blocks.11.norm.query_norm.scale,128
single_blocks.12.linear1.weight,36864,4096
single_blocks.12.linear2.weight,4096,16384
single_blocks.12.norm.key_norm.scale,128
single_blocks.12.norm.query_norm.scale,128
single_blocks.13.linear1.weight,36864,4096
single_blocks.13.linear2.weight,4096,16384
single_blocks.13.norm.key_norm.scale,128
single_blocks.13.norm.query_norm.scale,128
single_blocks.14.linear1.weight,36864,4096
single_blocks.14.linear2.weight,4096,16384
single_blocks.14.norm.key_norm.scale,128
single_blocks.14.norm.query_norm.scale,128
single_blocks.15.linear1.weight,36864,4096
single_blocks.15.linear2.weight,4096,16384
single_blocks.15.norm.key_norm.scale,128
single_blocks.15.norm.query_norm.scale,128
single_blocks.16.linear1.weight,36864,4096
single_blocks.16.linear2.weight,4096,16384
single_blocks.16.norm.key_norm.scale,128
single_blocks.16.norm.query_norm.scale,128
single_blocks.17.linear1.weight,36864,4096
single_blocks.17.linear2.weight,4096,16384
single_blocks.17.norm.key_norm.scale,128
single_blocks.17.norm.query_norm.scale,128
single_blocks.18.linear1.weight,36864,4096
single_blocks.18.linear2.weight,4096,16384
single_blocks.18.norm.key_norm.scale,128
single_blocks.18.norm.query_norm.scale,128
single_blocks.19.linear1.weight,36864,4096
single_blocks.19.linear2.weight,4096,16384
single_blocks.19.norm.key_norm.scale,128
single_blocks.19.norm.query_norm.scale,128
single_blocks.2.linear1.weight,36864,4096
single_blocks.2.linear2.weight,4096,16384
single_blocks.2.norm.key_norm.scale,128
single_blocks.2.norm.query_norm.scale,128
single_blocks.20.linear1.weight,36864,4096
single_blocks.20.linear2.weight,4096,16384
single_blocks.20.norm.key_norm.scale,128
single_blocks.20.norm.query_norm.scale,128
single_blocks.21.linear1.weight,36864,4096
single_blocks.21.linear2.weight,4096,16384
single_blocks.21.norm.key_norm.scale,128
single_blocks.21.norm.query_norm.scale,128
single_blocks.22.linear1.weight,36864,4096
single_blocks.22.linear2.weight,4096,16384
single_blocks.22.norm.key_norm.scale,128
single_blocks.22.norm.query_norm.scale,128
single_blocks.23.linear1.weight,36864,4096
single_blocks.23.linear2.weight,4096,16384
single_blocks.23.norm.key_norm.scale,128
single_blocks.23.norm.query_norm.scale,128
single_blocks.3.linear1.weight,36864,4096
single_blocks.3.linear2.weight,4096,16384
single_blocks.3.norm.key_norm.scale,128
single_blocks.3.norm.query_norm.scale,128
single_blocks.4.linear1.weight,36864,4096
single_blocks.4.linear2.weight,4096,16384
single_blocks.4.norm.key_norm.scale,128
single_blocks.4.norm.query_norm.scale,128
single_blocks.5.linear1.weight,36864,4096
single_blocks.5.linear2.weight,4096,16384
single_blocks.5.norm.key_norm.scale,128
single_blocks.5.norm.query_norm.scale,128
single_blocks.6.linear1.weight,36864,4096
single_blocks.6.linear2.weight,4096,16384
single_blocks.6.norm.key_norm.scale,128
single_blocks.6.norm.query_norm.scale,128
single_blocks.7.linear1.weight,36864,4096
single_blocks.7.linear2.weight,4096,16384
single_blocks.7.norm.key_norm.scale,128
single_blocks.7.norm.query_norm.scale,128
single_blocks.8.linear1.weight,36864,4096
single_blocks.8.linear2.weight,4096,16384
single_blocks.8.norm.key_norm.scale,128
single_blocks.8.norm.query_norm.scale,128
single_blocks.9.linear1.weight,36864,4096
single_blocks.9.linear2.weight,4096,16384
single_blocks.9.norm.key_norm.scale,128
single_blocks.9.norm.query_norm.scale,128
single_stream_modulation.lin.weight,12288,4096
text_encoder.lm_head.weight,151936,4096
text_encoder.model.embed_tokens.weight,151936,4096
text_encoder.model.layers.0.input_layernorm.weight,4096
text_encoder.model.layers.0.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.0.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.0.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.0.post_attention_layernorm.weight,4096
text_encoder.model.layers.0.self_attn.k_norm.weight,128
text_encoder.model.layers.0.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.0.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.0.self_attn.q_norm.weight,128
text_encoder.model.layers.0.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.0.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.1.input_layernorm.weight,4096
text_encoder.model.layers.1.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.1.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.1.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.1.post_attention_layernorm.weight,4096
text_encoder.model.layers.1.self_attn.k_norm.weight,128
text_encoder.model.layers.1.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.1.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.1.self_attn.q_norm.weight,128
text_encoder.model.layers.1.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.1.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.10.input_layernorm.weight,4096
text_encoder.model.layers.10.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.10.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.10.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.10.post_attention_layernorm.weight,4096
text_encoder.model.layers.10.self_attn.k_norm.weight,128
text_encoder.model.layers.10.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.10.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.10.self_attn.q_norm.weight,128
text_encoder.model.layers.10.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.10.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.11.input_layernorm.weight,4096
text_encoder.model.layers.11.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.11.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.11.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.11.post_attention_layernorm.weight,4096
text_encoder.model.layers.11.self_attn.k_norm.weight,128
text_encoder.model.layers.11.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.11.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.11.self_attn.q_norm.weight,128
text_encoder.model.layers.11.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.11.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.12.input_layernorm.weight,4096
text_encoder.model.layers.12.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.12.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.12.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.12.post_attention_layernorm.weight,4096
text_encoder.model.layers.12.self_attn.k_norm.weight,128
text_encoder.model.layers.12.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.12.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.12.self_attn.q_norm.weight,128
text_encoder.model.layers.12.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.12.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.13.input_layernorm.weight,4096
text_encoder.model.layers.13.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.13.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.13.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.13.post_attention_layernorm.weight,4096
text_encoder.model.layers.13.self_attn.k_norm.weight,128
text_encoder.model.layers.13.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.13.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.13.self_attn.q_norm.weight,128
text_encoder.model.layers.13.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.13.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.14.input_layernorm.weight,4096
text_encoder.model.layers.14.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.14.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.14.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.14.post_attention_layernorm.weight,4096
text_encoder.model.layers.14.self_attn.k_norm.weight,128
text_encoder.model.layers.14.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.14.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.14.self_attn.q_norm.weight,128
text_encoder.model.layers.14.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.14.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.15.input_layernorm.weight,4096
text_encoder.model.layers.15.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.15.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.15.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.15.post_attention_layernorm.weight,4096
text_encoder.model.layers.15.self_attn.k_norm.weight,128
text_encoder.model.layers.15.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.15.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.15.self_attn.q_norm.weight,128
text_encoder.model.layers.15.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.15.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.16.input_layernorm.weight,4096
text_encoder.model.layers.16.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.16.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.16.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.16.post_attention_layernorm.weight,4096
text_encoder.model.layers.16.self_attn.k_norm.weight,128
text_encoder.model.layers.16.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.16.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.16.self_attn.q_norm.weight,128
text_encoder.model.layers.16.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.16.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.17.input_layernorm.weight,4096
text_encoder.model.layers.17.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.17.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.17.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.17.post_attention_layernorm.weight,4096
text_encoder.model.layers.17.self_attn.k_norm.weight,128
text_encoder.model.layers.17.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.17.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.17.self_attn.q_norm.weight,128
text_encoder.model.layers.17.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.17.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.18.input_layernorm.weight,4096
text_encoder.model.layers.18.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.18.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.18.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.18.post_attention_layernorm.weight,4096
text_encoder.model.layers.18.self_attn.k_norm.weight,128
text_encoder.model.layers.18.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.18.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.18.self_attn.q_norm.weight,128
text_encoder.model.layers.18.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.18.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.19.input_layernorm.weight,4096
text_encoder.model.layers.19.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.19.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.19.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.19.post_attention_layernorm.weight,4096
text_encoder.model.layers.19.self_attn.k_norm.weight,128
text_encoder.model.layers.19.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.19.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.19.self_attn.q_norm.weight,128
text_encoder.model.layers.19.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.19.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.2.input_layernorm.weight,4096
text_encoder.model.layers.2.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.2.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.2.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.2.post_attention_layernorm.weight,4096
text_encoder.model.layers.2.self_attn.k_norm.weight,128
text_encoder.model.layers.2.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.2.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.2.self_attn.q_norm.weight,128
text_encoder.model.layers.2.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.2.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.20.input_layernorm.weight,4096
text_encoder.model.layers.20.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.20.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.20.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.20.post_attention_layernorm.weight,4096
text_encoder.model.layers.20.self_attn.k_norm.weight,128
text_encoder.model.layers.20.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.20.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.20.self_attn.q_norm.weight,128
text_encoder.model.layers.20.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.20.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.21.input_layernorm.weight,4096
text_encoder.model.layers.21.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.21.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.21.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.21.post_attention_layernorm.weight,4096
text_encoder.model.layers.21.self_attn.k_norm.weight,128
text_encoder.model.layers.21.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.21.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.21.self_attn.q_norm.weight,128
text_encoder.model.layers.21.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.21.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.22.input_layernorm.weight,4096
text_encoder.model.layers.22.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.22.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.22.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.22.post_attention_layernorm.weight,4096
text_encoder.model.layers.22.self_attn.k_norm.weight,128
text_encoder.model.layers.22.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.22.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.22.self_attn.q_norm.weight,128
text_encoder.model.layers.22.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.22.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.23.input_layernorm.weight,4096
text_encoder.model.layers.23.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.23.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.23.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.23.post_attention_layernorm.weight,4096
text_encoder.model.layers.23.self_attn.k_norm.weight,128
text_encoder.model.layers.23.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.23.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.23.self_attn.q_norm.weight,128
text_encoder.model.layers.23.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.23.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.24.input_layernorm.weight,4096
text_encoder.model.layers.24.mlp.down_proj.weight,4096,12288
