text_encoder.model.embed_tokens.weight,151936,2560
text_encoder.model.layers.0.input_layernorm.weight,2560
text_encoder.model.layers.0.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.0.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.0.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.0.post_attention_layernorm.weight,2560
text_encoder.model.layers.0.self_attn.k_norm.weight,128
text_encoder.model.layers.0.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.0.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.0.self_attn.q_norm.weight,128
text_encoder.model.layers.0.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.0.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.1.input_layernorm.weight,2560
text_encoder.model.layers.1.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.1.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.1.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.1.post_attention_layernorm.weight,2560
text_encoder.model.layers.1.self_attn.k_norm.weight,128
text_encoder.model.layers.1.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.1.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.1.self_attn.q_norm.weight,128
text_encoder.model.layers.1.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.1.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.10.input_layernorm.weight,2560
text_encoder.model.layers.10.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.10.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.10.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.10.post_attention_layernorm.weight,2560
text_encoder.model.layers.10.self_attn.k_norm.weight,128
text_encoder.model.layers.10.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.10.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.10.self_attn.q_norm.weight,128
text_encoder.model.layers.10.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.10.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.11.input_layernorm.weight,2560
text_encoder.model.layers.11.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.11.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.11.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.11.post_attention_layernorm.weight,2560
text_encoder.model.layers.11.self_attn.k_norm.weight,128
text_encoder.model.layers.11.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.11.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.11.self_attn.q_norm.weight,128
text_encoder.model.layers.11.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.11.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.12.input_layernorm.weight,2560
text_encoder.model.layers.12.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.12.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.12.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.12.post_attention_layernorm.weight,2560
text_encoder.model.layers.12.self_attn.k_norm.weight,128
text_encoder.model.layers.12.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.12.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.12.self_attn.q_norm.weight,128
text_encoder.model.layers.12.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.12.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.13.input_layernorm.weight,2560
text_encoder.model.layers.13.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.13.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.13.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.13.post_attention_layernorm.weight,2560
text_encoder.model.layers.13.self_attn.k_norm.weight,128
text_encoder.model.layers.13.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.13.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.13.self_attn.q_norm.weight,128
text_encoder.model.layers.13.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.13.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.14.input_layernorm.weight,2560
text_encoder.model.layers.14.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.14.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.14.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.14.post_attention_layernorm.weight,2560
text_encoder.model.layers.14.self_attn.k_norm.weight,128
text_encoder.model.layers.14.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.14.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.14.self_attn.q_norm.weight,128
text_encoder.model.layers.14.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.14.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.15.input_layernorm.weight,2560
text_encoder.model.layers.15.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.15.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.15.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.15.post_attention_layernorm.weight,2560
text_encoder.model.layers.15.self_attn.k_norm.weight,128
text_encoder.model.layers.15.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.15.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.15.self_attn.q_norm.weight,128
text_encoder.model.layers.15.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.15.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.16.input_layernorm.weight,2560
text_encoder.model.layers.16.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.16.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.16.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.16.post_attention_layernorm.weight,2560
text_encoder.model.layers.16.self_attn.k_norm.weight,128
text_encoder.model.layers.16.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.16.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.16.self_attn.q_norm.weight,128
text_encoder.model.layers.16.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.16.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.17.input_layernorm.weight,2560
text_encoder.model.layers.17.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.17.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.17.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.17.post_attention_layernorm.weight,2560
text_encoder.model.layers.17.self_attn.k_norm.weight,128
text_encoder.model.layers.17.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.17.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.17.self_attn.q_norm.weight,128
text_encoder.model.layers.17.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.17.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.18.input_layernorm.weight,2560
text_encoder.model.layers.18.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.18.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.18.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.18.post_attention_layernorm.weight,2560
text_encoder.model.layers.18.self_attn.k_norm.weight,128
text_encoder.model.layers.18.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.18.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.18.self_attn.q_norm.weight,128
text_encoder.model.layers.18.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.18.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.19.input_layernorm.weight,2560
text_encoder.model.layers.19.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.19.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.19.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.19.post_attention_layernorm.weight,2560
text_encoder.model.layers.19.self_attn.k_norm.weight,128
text_encoder.model.layers.19.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.19.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.19.self_attn.q_norm.weight,128
text_encoder.model.layers.19.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.19.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.2.input_layernorm.weight,2560
text_encoder.model.layers.2.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.2.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.2.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.2.post_attention_layernorm.weight,2560
text_encoder.model.layers.2.self_attn.k_norm.weight,128
text_encoder.model.layers.2.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.2.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.2.self_attn.q_norm.weight,128
text_encoder.model.layers.2.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.2.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.20.input_layernorm.weight,2560
text_encoder.model.layers.20.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.20.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.20.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.20.post_attention_layernorm.weight,2560
text_encoder.model.layers.20.self_attn.k_norm.weight,128
text_encoder.model.layers.20.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.20.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.20.self_attn.q_norm.weight,128
text_encoder.model.layers.20.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.20.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.21.input_layernorm.weight,2560
text_encoder.model.layers.21.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.21.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.21.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.21.post_attention_layernorm.weight,2560
text_encoder.model.layers.21.self_attn.k_norm.weight,128
text_encoder.model.layers.21.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.21.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.21.self_attn.q_norm.weight,128
text_encoder.model.layers.21.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.21.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.22.input_layernorm.weight,2560
text_encoder.model.layers.22.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.22.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.22.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.22.post_attention_layernorm.weight,2560
text_encoder.model.layers.22.self_attn.k_norm.weight,128
text_encoder.model.layers.22.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.22.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.22.self_attn.q_norm.weight,128
text_encoder.model.layers.22.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.22.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.23.input_layernorm.weight,2560
text_encoder.model.layers.23.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.23.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.23.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.23.post_attention_layernorm.weight,2560
text_encoder.model.layers.23.self_attn.k_norm.weight,128
text_encoder.model.layers.23.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.23.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.23.self_attn.q_norm.weight,128
text_encoder.model.layers.23.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.23.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.24.input_layernorm.weight,2560
text_encoder.model.layers.24.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.24.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.24.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.24.post_attention_layernorm.weight,2560
text_encoder.model.layers.24.self_attn.k_norm.weight,128
text_encoder.model.layers.24.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.24.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.24.self_attn.q_norm.weight,128
text_encoder.model.layers.24.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.24.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.25.input_layernorm.weight,2560
text_encoder.model.layers.25.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.25.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.25.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.25.post_attention_layernorm.weight,2560
text_encoder.model.layers.25.self_attn.k_norm.weight,128
text_encoder.model.layers.25.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.25.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.25.self_attn.q_norm.weight,128
text_encoder.model.layers.25.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.25.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.26.input_layernorm.weight,2560
text_encoder.model.layers.26.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.26.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.26.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.26.post_attention_layernorm.weight,2560
text_encoder.model.layers.26.self_attn.k_norm.weight,128
text_encoder.model.layers.26.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.26.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.26.self_attn.q_norm.weight,128
text_encoder.model.layers.26.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.26.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.27.input_layernorm.weight,2560
text_encoder.model.layers.27.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.27.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.27.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.27.post_attention_layernorm.weight,2560
text_encoder.model.layers.27.self_attn.k_norm.weight,128
text_encoder.model.layers.27.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.27.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.27.self_attn.q_norm.weight,128
text_encoder.model.layers.27.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.27.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.28.input_layernorm.weight,2560
text_encoder.model.layers.28.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.28.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.28.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.28.post_attention_layernorm.weight,2560
text_encoder.model.layers.28.self_attn.k_norm.weight,128
text_encoder.model.layers.28.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.28.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.28.self_attn.q_norm.weight,128
text_encoder.model.layers.28.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.28.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.29.input_layernorm.weight,2560
text_encoder.model.layers.29.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.29.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.29.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.29.post_attention_layernorm.weight,2560
text_encoder.model.layers.29.self_attn.k_norm.weight,128
text_encoder.model.layers.29.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.29.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.29.self_attn.q_norm.weight,128
text_encoder.model.layers.29.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.29.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.3.input_layernorm.weight,2560
text_encoder.model.layers.3.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.3.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.3.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.3.post_attention_layernorm.weight,2560
text_encoder.model.layers.3.self_attn.k_norm.weight,128
text_encoder.model.layers.3.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.3.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.3.self_attn.q_norm.weight,128
text_encoder.model.layers.3.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.3.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.30.input_layernorm.weight,2560
text_encoder.model.layers.30.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.30.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.30.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.30.post_attention_layernorm.weight,2560
text_encoder.model.layers.30.self_attn.k_norm.weight,128
text_encoder.model.layers.30.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.30.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.30.self_attn.q_norm.weight,128
text_encoder.model.layers.30.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.30.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.31.input_layernorm.weight,2560
text_encoder.model.layers.31.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.31.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.31.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.31.post_attention_layernorm.weight,2560
text_encoder.model.layers.31.self_attn.k_norm.weight,128
text_encoder.model.layers.31.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.31.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.31.self_attn.q_norm.weight,128
text_encoder.model.layers.31.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.31.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.32.input_layernorm.weight,2560
text_encoder.model.layers.32.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.32.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.32.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.32.post_attention_layernorm.weight,2560
text_encoder.model.layers.32.self_attn.k_norm.weight,128
text_encoder.model.layers.32.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.32.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.32.self_attn.q_norm.weight,128
text_encoder.model.layers.32.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.32.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.33.input_layernorm.weight,2560
text_encoder.model.layers.33.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.33.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.33.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.33.post_attention_layernorm.weight,2560
text_encoder.model.layers.33.self_attn.k_norm.weight,128
text_encoder.model.layers.33.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.33.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.33.self_attn.q_norm.weight,128
text_encoder.model.layers.33.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.33.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.34.input_layernorm.weight,2560
text_encoder.model.layers.34.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.34.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.34.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.34.post_attention_layernorm.weight,2560
text_encoder.model.layers.34.self_attn.k_norm.weight,128
text_encoder.model.layers.34.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.34.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.34.self_attn.q_norm.weight,128
text_encoder.model.layers.34.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.34.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.35.input_layernorm.weight,2560
text_encoder.model.layers.35.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.35.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.35.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.35.post_attention_layernorm.weight,2560
text_encoder.model.layers.35.self_attn.k_norm.weight,128
text_encoder.model.layers.35.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.35.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.35.self_attn.q_norm.weight,128
text_encoder.model.layers.35.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.35.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.4.input_layernorm.weight,2560
text_encoder.model.layers.4.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.4.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.4.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.4.post_attention_layernorm.weight,2560
text_encoder.model.layers.4.self_attn.k_norm.weight,128
text_encoder.model.layers.4.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.4.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.4.self_attn.q_norm.weight,128
text_encoder.model.layers.4.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.4.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.5.input_layernorm.weight,2560
text_encoder.model.layers.5.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.5.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.5.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.5.post_attention_layernorm.weight,2560
text_encoder.model.layers.5.self_attn.k_norm.weight,128
text_encoder.model.layers.5.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.5.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.5.self_attn.q_norm.weight,128
text_encoder.model.layers.5.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.5.self_attn.v_proj.weight,1024,2560
